Posicion,Equipo,Puntos,Forma,PJ,PG,PE,PP,GF,GC,Dif_Goles
1,Real Madrid,95,DDWWW,38,29,8,1,87,26,61
2,Barcelona,85,WWWWL,38,26,7,5,79,44,35
3,Girona,81,WWLDW,38,25,6,7,85,46,39
4,Atletico Madrid,76,WLWWW,38,24,4,10,70,43,27
5,Athletic Club,68,WWLDW,38,19,11,8,61,37,24
6,Real Sociedad,60,LWWLW,38,16,12,10,51,39,12
7,Real Betis,57,DLDWW,38,14,15,9,48,45,3
8,Villarreal,53,DDWWL,38,14,11,13,65,65,0
9,Valencia,49,DLLDL,38,13,10,15,40,45,-5
10,Alaves,46,DWLDW,38,12,10,16,36,46,-10
11,Osasuna,45,DWDDL,38,12,9,17,45,56,-11
12,Getafe,43,LLLLL,38,10,13,15,42,54,-12
13,Celta Vigo,41,DWWLW,38,10,11,17,46,57,-11
14,Sevilla,41,LLLLW,38,10,11,17,48,54,-6
15,Mallorca,40,WDDWL,38,8,16,14,33,44,-11
16,Las Palmas,40,DDDLL,38,10,10,18,33,47,-14
17,Rayo Vallecano,38,LLWDL,38,8,14,16,29,48,-19
18,Cadiz,33,LDWWL,38,6,15,17,26,55,-29
19,Almeria,21,WDLLW,38,3,12,23,43,75,-32
20,Granada CF,21,LLLLL,38,4,9,25,38,79,-41
